column,dtype,non_null,nulls,null_pct,n_unique
Id_fic,int64,56473,0,0.0,51895
Base_Origen,object,56473,0,0.0,5
Ficha_fic,int64,56473,0,0.0,51892
Fecha_intervencion,datetime64[ns],56473,0,0.0,1233
Localidad_fic,object,56473,0,0.0,20
Red_fic,object,56473,0,0.0,8
TIPO_INTERVENCION,object,56473,0,0.0,4
PERFIL,object,56473,0,0.0,7
TIPO_INTERVENCION_2,object,56473,0,0.0,6
.INFORMACION_DEL_MENOR.,int64,56473,0,0.0,7946
Sub-Seccion_=>_INFORMACION_DEL_MENOR_NNA_IDENTIFICADO_COMO_TRABAJADOR,int64,56473,0,0.0,1
NACIONALIDAD,object,56473,0,0.0,17
SEXO,object,56473,0,0.0,4
GENERO,object,56473,0,0.0,4
ESTADO_CIVIL,object,56473,0,0.0,4
FECHA_DE_NACIMIENTO,object,56473,0,0.0,7334
EDAD,int64,56473,0,0.0,20
CURSO_DE_VIDA,object,56473,0,0.0,5
ETNIA,object,56473,0,0.0,6
POBLACION_DIFERENCIAL_Y_DE_INCLUSION,object,56473,0,0.0,13
.Personas_a_Cargo.,float64,56473,0,0.0,5
OCUPACION,object,56473,0,0.0,14
IdNivelEducativo,object,56473,0,0.0,12
RazonAbandonoEscolar,object,56473,0,0.0,6
CATEGORIAS_DE_LA_DISCAPACIDAD,object,56473,0,0.0,7
HABLA_ESPANOL,object,56473,0,0.0,4
PUEBLO,object,56473,0,0.0,10
VINCULO_CON_EL_JEFE_DE_HOGAR,object,56473,0,0.0,15
AFILIACION_AL_SGSSS,object,56473,0,0.0,6
NOMBRE_EAPB,object,56473,0,0.0,330
ZONA,object,56473,0,0.0,4
ESPECIAL,int64,56473,0,0.0,12
LOCALIDAD,object,56473,0,0.0,21
UPZ/UPR,int64,56473,0,0.0,120
BARRIO,object,56473,0,0.0,2902
BARRIO_PRIORIZADO,object,56473,0,0.0,5
MANZANA_DEL_CUIDADO,object,56473,0,0.0,5
NUMERO_DE_MANZANA_DEL_CUIDADO,object,56473,0,0.0,19
ESTRATO,object,56473,0,0.0,7
SUBGRUPO_SISBEN,object,56473,0,0.0,5
VEREDA,object,56473,0,0.0,3
ULTIMA_INTERVENCION,int64,56473,0,0.0,1
FECHA_DE_LA_ULTIMA_INTERVENCION,object,56473,0,0.0,227
NUMERO_DE_FICHA_ANTERIOR,int64,56473,0,0.0,1277
Sub-Seccion_=>_INFORMACION_DEL_ACUDIENTE,int64,56473,0,0.0,1
AFILIACION_AL_SGSSS.1,object,56473,0,0.0,6
NOMBRE_EAPB.1,object,56473,0,0.0,289
ESTRATO_SOCIOECONOMICO,object,56473,0,0.0,7
Sub-Seccion_=>_INFORMACION_LABORAL,int64,56473,0,0.0,1
ZONA.1,object,56473,0,0.0,3
ESPECIAL.1,int64,56473,0,0.0,6
LOCALIDAD.1,object,56473,0,0.0,21
UPZ/UPR.1,int64,56473,0,0.0,111
BARRIO.1,object,56473,0,0.0,2249
BARRIO_PRIORIZADO.1,object,56473,0,0.0,5
MANZANA_DEL_CUIDADO.1,object,56473,0,0.0,5
NUMERO_DE_MANZANA_DEL_CUIDADO.1,object,56473,0,0.0,24
NOMBRE_DE_LA_UT,object,56473,0,0.0,10784
¿EN_DONDE_REALIZA_PRINCIPALMENTE_SU_TRABAJO?,object,56473,0,0.0,8
ACOMPANAMIENTO_1_-_PERFIL,object,56473,0,0.0,4
